UserID,Gender,Age,AnnualIncome,LoanAmount,CreditScore,Defaulted
75682867,Male,67,117974,41059,432,1
66755036,Female,45,82728,34742,575,1
66882282,Male,45,26246,5133,812,0
31081788,Female,54,142796,15663,612,1
23315092,Female,58,107263,22754,583,1
45788921,Female,53,26302,4972,420,0
36735830,Male,44,82506,6295,406,1
41632483,Male,34,56157,47681,503,1
86737383,Female,26,69917,42873,464,1
98358551,Female,50,111646,30125,604,1
98409749,Male,37,98122,41996,796,1
14981505,Female,30,39519,10903,455,1
23953367,Female,45,95910,4020,666,0
95652971,Female,65,135430,42755,550,1
14521373,Male,46,86324,21420,633,1
13344769,Male,30,20408,22452,810,0
86893497,Male,63,74379,46648,592,1
40349564,Female,52,40053,39001,319,1
52860080,Female,23,146994,10516,581,1
87751354,Female,35,113723,48327,300,1
72250665,Male,68,66356,3396,418,0
76209791,Female,22,25789,19546,334,1
56792155,Female,64,112720,20129,497,1
31498555,Female,42,81656,2591,784,0
70221198,Female,19,59028,12303,358,1
89757501,Male,27,79484,31561,460,1
26861870,Male,47,47154,7183,505,0
62286002,Female,67,17336,27572,311,1
42049003,Male,62,118677,35080,789,1
71136438,Male,22,82779,21695,575,1
72194931,Female,50,34029,8314,541,0
75285250,Female,18,74201,20623,515,1
79537252,Male,35,47265,3139,550,0
69248434,Female,49,117916,48456,425,1
71306900,Male,64,61197,32290,516,1
65831368,Female,66,140733,19088,605,1
20959014,Male,28,86907,40692,484,1
66972561,Female,38,143876,34130,338,1
58900483,Male,43,79435,33088,522,1
30193880,Male,42,55631,27292,483,1
13385357,Male,39,144038,47249,794,1
54738553,Female,44,35103,21670,726,0
78574553,Male,66,79772,4738,477,1
26845364,Male,30,141108,3469,727,1
62157313,Female,50,29382,23534,593,1
21392366,Female,51,99291,49874,450,1
79778859,Male,58,116195,10017,683,1
98883975,Male,52,149828,3808,607,1
23479854,Female,18,35609,48638,635,1
83506850,Female,38,90683,13713,674,1
23187277,Female,65,139714,41329,307,1
78979792,Female,23,145330,3719,640,1
47709731,Female,45,86315,23890,428,1
36939239,Male,34,92834,12700,651,1
33027075,Female,22,141205,37509,657,1
91200125,Male,48,29153,43534,816,1
96191493,Male,22,91325,37766,794,1
97796277,Male,55,70318,27705,385,1
76401385,Female,20,146886,19787,474,1
32335235,Male,40,130033,49845,492,1
10271836,Male,54,91077,27588,610,1
13584702,Female,54,105474,27123,418,1
62631083,Male,27,148515,34062,517,1
18585377,Male,27,88319,11177,726,0
96544585,Female,36,140885,22727,713,1
95157821,Male,34,124777,31220,413,1
97655395,Male,38,32368,10882,444,0
27824013,Male,31,106751,2136,837,0
46601694,Female,26,42306,35832,602,1
77105583,Female,63,52219,32966,644,1
70304654,Female,18,75279,8009,300,1
